Year;Node;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0
2100;11;0.10602374934227139;0.66303212965895053;3.0329213490144671;30.149735838804258;0.19896583212284427;0.049575675921209594;0.13401207588863218;0.15133507221021372;0.3175734245215725;0.10623714515338037;0.6630363182232224;3.0316368275462611;30.147668472743128;0.19938435473572783;0.048793037619043744;0.13408109569982946;0.1513727914310927;0.31769872967394103;0.060114253856644866;0.66394860122031829;3.1799069873885961;29.833963807736374;0.19096628210756181;0.039094848991627629;0.12119633971791653;0.14722938345165049;0.29780128857118587
2100;12;0.035222146133832573;0.66088756694867046;3.3398467476975195;31.108279439557219;0.15254150671148711;0.033146253354043864;0.12354411155849848;0.1423025598227122;0.29541313855828172;0.035086935964659151;0.66089104328851256;3.3399393963133024;31.106880855798568;0.15276301586363258;0.032681274924106773;0.12352725007886765;0.14229796501609696;0.2953892768445916;0.038046160381460907;0.66134518670683917;3.3244340095303189;30.916658467098156;0.15186856937473836;0.025536447726315359;0.12273444679611209;0.14270230882469914;0.29490370476624578
2100;13;0.036732196223471632;0.66169757299091303;3.3268804714556377;30.77418638790045;0.15606628507453782;0.022399502541992078;0.12126703519861202;0.1426522992011266;0.2931543854404618;0.036360456048673717;0.66174147784215698;3.3276215701209715;30.756614289268526;0.15620357537589427;0.021506107413094;0.12109660069688512;0.14259523522311476;0.29289590460691273;0.033906146522327402;0.66190002038334961;3.3346189225900438;30.694513659166219;0.15548445667606478;0.018942953246892102;0.12018250840723656;0.14232348446968909;0.29155759264273745
2100;14;0.0045021220366776547;0.6593987109435645;3.4815768084058281;31.767564207194766;0.12688889682703242;0.014537268118930413;0.11644353325524477;0.14317074136239547;0.28873191296721185;0.0045445578295338863;0.65941706033132863;3.4810753853155019;31.759716162006463;0.1268542007844799;0.014002247823130531;0.11630716225175056;0.14327660366171038;0.28869885692592345;0.002689381098309808;0.65980498671872512;3.4865948939684284;31.598928629842721;0.12815502008155541;0.012478810315341704;0.11193928739073983;0.14573284536780182;0.28657043306231167
2200;15;0.022198731612990439;0.57708894640737773;14.113383641479757;106.13201820006699;0.026043155558377013;1.1470062655313029;0.098605176521156648;0.11002858053768846;0.2329000654893654;0.023070366216174251;0.57726681031742277;14.022419636256485;105.82596811061288;0.02634282095664962;1.1148434834742815;0.098797563826121926;0.11062718101282672;0.23382788078474126;0.024259986782489359;0.57739713235372203;14.00888246188142;105.61467911205574;0.026452666660028022;1.0971754962685765;0.097768139915253738;0.11140523003462285;0.2335597288842482
2200;16;0.014848603471452605;0.57544886740957524;14.869699657056236;108.97520035839153;0.021392469171609002;0.69680977084747298;0.098164500023827886;0.1048699614597521;0.22632707136272714;0.015715844341622962;0.57556079910386027;14.808546845864065;108.7766480361535;0.021448076073766045;0.68826475789780517;0.098296182234610424;0.10523450100196745;0.22690554728839613;0.020827712661716995;0.57563755471155165;14.733816090510654;108.63322549671737;0.021591512117484696;0.67419544765261463;0.098639794677956888;0.10570368967022138;0.22785039300637469
2200;17;0.018604356713382904;0.57607016641998854;14.543702170563215;107.88043877787544;0.021286729751420919;0.94818387655113412;0.09877146419162168;0.10688031223786246;0.22938300002655901;0.01858497286991026;0.5759859792988028;14.579359327632027;108.02621952725495;0.021215959900416161;0.97742444995070343;0.098783097540219911;0.10662966937657255;0.22910324224327652;0.018464055226171727;0.5760163012722268;14.580979793500886;107.97700377188247;0.021173679506574672;0.92977455722085267;0.098959353789954893;0.10632406381751813;0.22895899427182775
2200;18;0.013199133144562721;0.57486180366673834;15.102524283421831;110.00245851532675;0.018445871322414889;0.56439645893657797;0.097982198972269327;0.10372815902045261;0.22478478618107103;0.013636913662160839;0.57480773242039962;15.116772260550539;110.09595089132335;0.018468242392325009;0.57422423474520201;0.098126956769445092;0.10356407155932003;0.22476145436423117;0.014627741343770841;0.57483237635132511;15.101483703241318;110.05135210872989;0.018451361123259902;0.54569687260244137;0.098057779165896114;0.10376137016182024;0.22491302049968881
2200;19;0.020099327602242405;0.57623305998941032;14.41488287622068;107.58513828740782;0.021950601479474242;1.0060360187734929;0.099387238685108181;0.10759755012551578;0.23095730815947579;0.020153979075432468;0.57621410542581308;14.423303765415264;107.61795255233295;0.021954281968798395;0.99242559404189024;0.099387253008939816;0.10753704542546108;0.23088570999021504;0.025382419506243242;0.5762890275745649;14.330669735583454;107.47455420636142;0.022094755630628123;1.0344567381146419;0.10045599963449313;0.10760030889846812;0.23220032373674243
2200;20;0.014093472940787074;0.5749580108915161;15.024052724500175;109.82435463969941;0.01880569231820511;0.6206140943813665;0.098329140706446758;0.10414277983899378;0.22568298444771254;0.013828987031766852;0.5749466535628196;15.033776482622454;109.84547235904157;0.018820269714367035;0.61066025499876275;0.098276069507375302;0.10409804552036657;0.22556898427567354;0.020725637058750929;0.57502651423888829;14.918974135637965;109.68651446010051;0.018963120994925267;0.63855222804463097;0.099300364622541742;0.10443193116504552;0.22713267186776917
